prompt,target,prediction
It's in American Canyon. [CONFIRM(restaurant_name=Mi Zacatecas Family Restaurant); CONFIRM(location=American Canyon); CONFIRM(time=5:30 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Please confirm the following: Book 1 table at Mi Zacatecas Family Restaurant in American Canyon for 2 at 5:30 pm on March 1st.,It's in American Canyon.
Confirm. Can you tell me what type of food they serve there? [INFORM(category=Mexican); NOTIFY_SUCCESS],The reservation has successfully been made. They serve Mexican food.,Can I help you with what type of food they serve?
"Great, that will be all. [GOODBYE]",Enjoy the rest of your day.,Is there anything else I can do.
I need to book a table at a restaurant. [REQUEST(time=)],At which time would you like to reserve it for?,I need to book a table at a restaurant.
"I want it at 1:15 in the afternoon, please. [REQUEST(location=); REQUEST(restaurant_name=)]",In which location would you like it? What is the restaurant name?,I have a nice meal.
"I need a table at Saap Ver, in San Francisco. [CONFIRM(restaurant_name=Saap Ver); CONFIRM(location=San Francisco); CONFIRM(time=1:15 PM); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)]","Please confirm the following information: Book a table at Saap Ver, in San Francisco at 1:15 PM on the day of March 1st. This is for a party of 2, correct?","I need a table at Saap Ver, in San Francisco."
"Yes, that is everything. Address? [NOTIFY_FAILURE; REQ_MORE]","Sorry, but the reservation could not be placed. Is there anything else to help with?",What is the address?
"No, but thanks. [GOODBYE]",Of course. Have a wonderful day.,Is there anything else I can do to help you with?
I'm looking to book a table. Can you try Triptych in SF? [REQUEST(time=)],"Of course, what time would you prefer?",Can you try Triptych in SF?
Give me 6:15 in the evening please. [CONFIRM(restaurant_name=triptych); CONFIRM(location=San Francisco); CONFIRM(time=6:15 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Here's what I heard: 2 people for a table at triptych in San Francisco at 6:15 pm on March 1st.,I have a table at the triptych in San Francisco for 6:15 pm.
"No, wrong. Give me Friday next week instead. [CONFIRM(restaurant_name=Triptych); CONFIRM(date=March 8th)]","Sure, I have booking table at Triptych on March 8th.","No, wrong. Give me Friday next week."
"No, one more time. One person. [CONFIRM(date=March 8th); CONFIRM(number_of_seats=1)]",I have March 8th 1 person.,"No, no, one more time. One person."
"Yes, that's a winner thanks. Do they have vegetarian options? [INFORM(has_vegetarian_options=True); OFFER(restaurant_name=Triptych); OFFER(number_of_seats=1); OFFER(date=March 8th); OFFER(time=6 pm); NOTIFY_FAILURE]","Well, good news bad news. First they DO have vegetarian options at Triptych. Bad news, no availability at your preferred time. How about March 8th at 6 pm for 1?","Yes, they have vegetarian options."
"No, that will not do. [GOODBYE]","Sorry about that, have a good day.",Is there anything else I can do.
I would like to make a reservation at a restaurant for half past 1 in the afternoon. [REQUEST(restaurant_name=)],In which restaurant would you like a table?,I would like to make a reservation at a restaurant for half past 1 in the afternoon.
I would like a table at Left Bank. [REQUEST(location=)],In which location would you like?,I would like to have a table at Left Bank.
I would like a restaurant in Larkspur. [CONFIRM(restaurant_name=Left Bank Larkspur Brasserie); CONFIRM(location=Larkspur); CONFIRM(time=1:30 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Booking a table at Left Bank Larkspur Brasserie in Larkspur for 2 people on March 1st at 1:30 pm.,I would like a restaurant in Larkspur.
"Yes, that reservation is good. [NOTIFY_SUCCESS]",Your reservation was made.,"Yes, that reservation is good."
Thank you for your assistance. [GOODBYE],Have a good day.,Thank you for your assistance.
I need to make a reservation for a restaurant in Oakland. The reservation should be for next Wednesday at 6:45 pm. [REQUEST(restaurant_name=)],Which restaurant would you like me to make a reservation for?,I need to make a reservation for a restaurant in Oakland next Wednesday at 6:45 pm.
Can you book me a table at Mcdonald's? [CONFIRM(restaurant_name=Mcdonald's); CONFIRM(location=Oakland); CONFIRM(time=6:45 pm); CONFIRM(date=March 6th); CONFIRM(number_of_seats=2)],Please confirm: Reserve 1 table at Mcdonald's in Oakland for 2 people on March 6th at 6:45 pm.,Can you book me a table at Mcdonald's?
That is correct. How expensive is the restaurant and does it have outdoor seating? [INFORM(price_range=cheap); INFORM(has_seating_outdoors=False); NOTIFY_SUCCESS],Your reservation has been made. It is a cheap restaurant. It does not have outdoor seating.,Is there anything else I can do to make sure I have a good time.
Thank you. [REQ_MORE],Can I assist you with anything else?,Thank you.
No thanks. [GOODBYE],Enjoy your day.,No thanks. [GOODBYE]
I want to make a restaurant reservation. [REQUEST(restaurant_name=); REQUEST(time=)],What's the name of the restaurant and what time would you like the reservation?,I want to make a reservation for a restaurant.
"It's name is La Hacienda and I want the reservation for 2 o""clock in the afternoon. [REQUEST(location=)]",And where is the restaurant located?,I've booked La Hacienda for 2 o'clock in the afternoon.
It's in Cloverdale. [CONFIRM(restaurant_name=La Hacienda Mexican Restaurant); CONFIRM(location=Cloverdale); CONFIRM(time=2 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],"I'll make a reservation for La Hacienda Mexican Restaurant in Cloverdale for March 1st at 2 pm for 2 people, is that good for you?",It's in Cloverdale.
"Yeah,that's good. What's the user rating of the restaurant? [NOTIFY_FAILURE; REQ_MORE]","I'm sorry, but the reservation couldn't be completed. Is there anything else you need?",What's the user rating of the restaurant?
"No, thanks a lot. [GOODBYE]","You're welcome, have a fine day.","No, thanks for the good work."
I am trying to book a dinner reservation in San Fran for one. Can you try booking a table at Lers Ros? [REQUEST(time=)],What time would you like me to make a reservation for?,I have a reservation for a dinner in San Fran for one.
"If you could, please make the reservation for 12:15 in the afternoon. [CONFIRM(restaurant_name=Lers Ros Thai); CONFIRM(location=San Francisco); CONFIRM(time=12:15 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=1)]",Confirm the following about your reservation: I am booking a table for Lers Ros Thai in San Francisco. The reservatin is on March 1st at 12:15 pm for 1 person. Is this acceptable?,"If you could, please make the reservation for 12:15 in the afternoon."
That will work just fine. [OFFER(restaurant_name=Lers Ros Thai); OFFER(number_of_seats=1); OFFER(date=March 1st); OFFER(time=12 pm); NOTIFY_FAILURE],I was unable to make a reservation with these details. I can book a table at Lers Ros Thai on March 1st at 12 pm for 1 person. Is that okay?,Is there anything else I can help you with?
No that's all the help I needed. Thanks. [GOODBYE],You are welcome. Have a great rest of your day.,I'm sorry.
I want to book a table at a restaurant in Danville please [REQUEST(restaurant_name=)],Do you have a particular restaurant in mind?,I have a reservation for a table at a restaurant in Danville.
"Yeah actually, can you try Lotus for me [REQUEST(time=)]",For what time do you want to go?,Is Lotus a good thing.
Let's do it before lunch at 11:45 [CONFIRM(restaurant_name=Lotus Thai Restaurant); CONFIRM(location=Danville); CONFIRM(time=11:45 am); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Confirming that you want a table for 2 at 11:45 am on March 1st at the Lotus Thai Restaurant in Danville?,Let's do it before lunch at 11:45 at the Lotus Thai Restaurant in Danville.
Yes that's all correct [OFFER(restaurant_name=Lotus Thai Restaurant); OFFER(number_of_seats=2); OFFER(date=March 1st); OFFER(time=12 pm); NOTIFY_FAILURE],"Sorry I couldn't book that one, do you want me to try for 12 pm on March 1st instead? Still for 2 at Lotus Thai Restaurant",I'm not sure what's right.
Yes please do that [NOTIFY_SUCCESS],That one worked! It's booked!,"Yes, please do that."
Is it cheap over there? Also give me their address [INFORM(price_range=moderate); INFORM(address=115 Hartz Avenue)],"It's in the moderate price range, so not so bad. And find them at 115 Hartz Avenue",Is it cheap over there?
"OK, thanks that's it for now [GOODBYE]",Enjoy your meal there!,"OK, thanks for now [GOODBYE]"
"My boss from headquarters is coming to town and I would like to treat him and his wife to dinner. Can you help me find a restaurant in San Francisco with available seating for four people, next Tuesday? [REQUEST(time=)]",That shouldn't be a problem. Is there a specific time you had in mind?,Can you help me find a restaurant for four people next Tuesday in San Francisco?
"Yes, a general dinner time is fine, so let's try to book a table for 6:30 pm. [REQUEST(restaurant_name=)]","Okay, and what about the venue, Is there a particular restaurant you want me to search for first?","Yes, a general dinner time is fine."
"Yes, I'm told that Aq is very good. Let's try that one first. [CONFIRM(restaurant_name=Aq); CONFIRM(location=San Francisco); CONFIRM(time=6:30 pm); CONFIRM(date=March 5th); CONFIRM(number_of_seats=4)]","No problem, before I check into reservations, let me just make sure that the details I have are correct. You would like a table for 4 at Aq, located in San Francisco, on March 5th, at 6:30 pm. Is that right?","Yes, I'm told that Aq is very good. Let's try that one first."
"No, I'm sorry, I forgot he is not bring his wife so lets book a table for 3 at Ming's instead. [CONFIRM(restaurant_name=Ming's Diner); CONFIRM(number_of_seats=3)]","Okay, I've changed those details to a table for 3 at Ming's Diner. Is that correct?","I'm sorry, he is not bring his wife so lets book a table for 3 at Ming's Diner instead."
"Perfect, and can you also tell me the the establishment's rating as well? [INFORM(rating=4.0); NOTIFY_SUCCESS]",The rating of the restaurant I was able to confirm your reservation for is 4.0.,Is there anything else I can do to help you with?
"Great, I believe that will be all fr now. Thanks! [GOODBYE]","My pleasure, enjoy the rest of your day!",Great job.
Help me to find hotel in Petaluma to book a table at evening 7:30. [REQUEST(restaurant_name=)],Do you have any particular restaurant to choose?,Is there anything else I can help you with?
"yeah, get me at Cattlemens. [CONFIRM(restaurant_name=Cattlemens); CONFIRM(location=Petaluma); CONFIRM(time=7:30 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)]","Then please confirm, you need a table for 2 people in Cattlemens in Petaluma at 7:30 pm on March 1st.",Is there anything else I can help you with?
"Good, thats all. [NOTIFY_SUCCESS]",It is booked.,Good.
Shall I get veg food there. What is their phone number? [INFORM(has_vegetarian_options=False); INFORM(address=5012 Petaluma Boulevard North)],"No, you won't get veg. Their address is 5012 Petaluma Boulevard North.",5012 Petaluma Boulevard North.
"Great service, thank you. [REQ_MORE]",Do you need any other help?,Great service.
"No, thats all. [GOODBYE]",Have a great day.,[GOODBYE]
Can you help me book a table at Thai Chili on March 11th? Please find restaurants in Santa Clara. [REQUEST(time=)],What time do you prefer?,Can you help me book a table at Thai Chili on March 11th?
I want 5:45 in the evening. [CONFIRM(restaurant_name=Thai Chili Cuisine); CONFIRM(location=Santa Clara); CONFIRM(time=5:45 pm); CONFIRM(date=March 11th); CONFIRM(number_of_seats=2)],"Okay, you want to book a table for 2 people at Thai Chili Cuisine in Santa Clara on March 11th at 5:45 pm. Please confirm.",I want 5:45 in the evening.
"Yes, that's good. [OFFER(restaurant_name=Thai Chili Cuisine); OFFER(number_of_seats=2); OFFER(date=March 11th); OFFER(time=6 pm); NOTIFY_FAILURE]","Sorry, I fail to make a reservation. Thai Chili Cuisine is a good restaurant, do you want me to book a reservation for 2 again on March 11th at 6 pm?",I'm not sure what to do with Thai Chili Cuisine.
"Yes, that's fine. [NOTIFY_SUCCESS]",Your booking is now confirmed!,"Yes, that's fine."
Thanks a lot. [GOODBYE],You are welcome!,Vielen Dank.
Could you look at restaurants for me to reserve a table? [REQUEST(restaurant_name=); REQUEST(location=)],Sure! Where would you like me to search? Is there a particular restaurant?,Is there any restaurant for me to reserve a table?
How about Chianti Cucina in Novato. [REQUEST(time=)],"Okay, what time would you like to reserve?",Chianti Cucina in Novato
For 4:45 pm please. [CONFIRM(restaurant_name=Chianti Cucina); CONFIRM(location=Novato); CONFIRM(time=4:45 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],"Okay, please confirm the details: one table in Novato at restaurant Chianti Cucina for 4:45 pm on March 1st. Reservation is for 2.",Please bring your reservation for 4:45 pm.
"Yes, perfect. Book it please. Is there any outdoor seating there? What kinds of foods do they have? [INFORM(category=Italian); INFORM(has_seating_outdoors=False); OFFER(restaurant_name=Chianti Cucina); OFFER(number_of_seats=2); OFFER(date=March 1st); OFFER(time=5 pm); NOTIFY_FAILURE]","They have Italian. Unfortunately, there is no outdoor seating. It looks like I will be unable to make the reservation for that time at Chianti Cucina. How about reserving a table for 2 people on March 1st at 5 pm",Is there anything else I can help you with?
Yes please. [NOTIFY_SUCCESS],Your table has been reserved.,[NOTIFY_SUCCESS]
Thanks so much. That's all. [GOODBYE],"You're welcome, have a wonderful day.",All the good stuff.
I want to book a table for 4 people on March 10th in Petaluma. [REQUEST(restaurant_name=); REQUEST(time=)],On what restaurant you want to be and at what time?,I want to book a table for 4 people on March 10th in Petaluma.
Try please at Izakaya Kitaru.At 17:30 will be very good for me. [CONFIRM(restaurant_name=Izakaya Kitaru); CONFIRM(location=Petaluma); CONFIRM(time=5:30 pm); CONFIRM(date=March 10th); CONFIRM(number_of_seats=4)],Book a table at Izakaya Kitaru in Petaluma for 4 people at 5:30 pm on March 10th.Is that okay for you?,Izakaya Kitaru is located at 5:30 pm.
Yes is okay.Outdoor seating are available? [INFORM(has_seating_outdoors=False); NOTIFY_SUCCESS],The reservation was made.Outdoor seating is not available.,Yes.Outdoor seating is available.
Tell me the phone number and the address. [INFORM(phone_number=707-789-9068); INFORM(address=212 Western Avenue)],707-789-9068 is the phone number and the address is 212 Western Avenue.,Do you have any questions?
Thanks for the help. That's what I wanted for the moment. [GOODBYE],Have a great day!,I'm glad you've helped me.
Can you book a table at a restaurant for me? [REQUEST(time=); REQUEST(location=)],What is the location and time for the booking?,Can you book a table at a restaurant for me?
I am looking for restaurants in Mountain View for the reservation at seven pm. [REQUEST(restaurant_name=)],What is the name of your preferred restaurant?,I have a reservation at 7 pm in Mountain View.
I would like to go with Sushi 85. [CONFIRM(restaurant_name=Sushi 85); CONFIRM(location=Mountain View); CONFIRM(time=7 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Please confirm: You want me to book a table for 2 people at Sushi 85 located Mountain View at 7 pm on March 1st.,Sushi 85 is a restaurant in the Mountain View area.
"Okay, That sounds great! Find me the address please. [INFORM(address=1350 Grant Road); NOTIFY_SUCCESS]",I have successfully booked the table and the address is 1350 Grant Road.,I have a question.
Can you find me their phone number? [INFORM(phone_number=650-965-8898)],You can call them on 650-965-8898.,Can you find me their phone number?
"Okay, Thank you for the help! [REQ_MORE]",Is there anything else I can help you with?,"Okay, thanks for the help!"
No. That will be all. Thank you! [GOODBYE],I am glad I could help. Have a nice day!,Thank you!
I need to reserve a table at a restaurant in SF for 7 pm. [REQUEST(restaurant_name=)],What restaurant do you want to reserve a table at?,I need to reserve a table at a restaurant in SF for 7 pm.
Can you reserve a table at Regent? [CONFIRM(restaurant_name=Regent Thai); CONFIRM(location=San Francisco); CONFIRM(time=7 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Please confirm: Reserve a table at Regent Thai in San Francisco for 2 people on March 1st at 7 pm.,Can you reserve a table at Regent at 7 pm?
That is correct. [NOTIFY_SUCCESS],Your reservation has been confirmed.,That is correct.
"Thanks, that is all. [GOODBYE]",Enjoy your day.,"Vielen Dank, das alles ist ok."
I'd like to make a reservation at a restaurant. [REQUEST(restaurant_name=)],Is there a specific restaurant you'd like to make the reservation for?,I'd like to make a reservation at a restaurant.
"It's a restaurant called Amalfi, please try that. [REQUEST(time=); REQUEST(location=)]",Where is the restaurant located and what time do you want the reservation for?,It's a restaurant called Amalfi.
I want it for 5:30 in the evening and it should be in Larkspur. [CONFIRM(restaurant_name=Amalfi); CONFIRM(location=Larkspur); CONFIRM(time=5:30 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],I'll make you a reservation at Amalfi in Larkspur for 5:30 pm on March 1st for 2 people. Is that correct?,I want it for 5:30 in the evening and it should be in Larkspur.
"Yeah, that sounds awesome. [NOTIFY_SUCCESS]",I've booked the reservation.,"Yeah, that sounds like a good thing."
Thanks a lot. That's it for now. [GOODBYE],Have an excellent rest of your day.,Thanks for the great work.
Can you help me to book a table at a restaurant for 2 people at evening 6:30 [REQUEST(restaurant_name=)],Is there any choice of restaurant you want to book?,Can you help me with booking a table at a restaurant for 2 people at evening 6:30?
Would you kindly book the table at Mcdonalds? [REQUEST(location=)],In which place you want me to search?,Would you like to book a table at Mcdonalds?
Search restaurants in Morgan Hill and it is for next monday [CONFIRM(restaurant_name=Mcdonalds); CONFIRM(location=Morgan Hill); CONFIRM(time=6:30 pm); CONFIRM(date=march 4th); CONFIRM(number_of_seats=2)],Please give the confirmation details:your table booking at Mcdonalds in the city Morgan Hill on march 4th for 2 people at 6:30 pm.,The restaurant is for next monday in Morgan Hill.
Okay..this is cool [NOTIFY_SUCCESS],Your booking is confirmed.,Okay.
Is there outdoor seating in that restaurant and can i know the phone number [INFORM(phone_number=408-779-8182); INFORM(has_seating_outdoors=False)],There is no outdoor seating and telephone number is 408-779-8182.,Is there outdoor seating in that restaurant and can i know the phone number [INFORM(phone_number=408-779-8182); INFORM(has_seating_outdoors=False)]
This is cool..thanks a lot. [GOODBYE],Have a nice day.,This is cool..thanks for the cool.
I would like to reserve a table for 1 at La Briciola tomorrow morning 11. [REQUEST(location=)],What city should I search?,I would like to reserve a table for 1 at La Briciola tomorrow morning 11.
"Search in SFO, please. [CONFIRM(restaurant_name=La Briciola); CONFIRM(location=San Francisco); CONFIRM(time=11 am); CONFIRM(date=March 1st); CONFIRM(number_of_seats=1)]","You would like to reserve a table for 1 at La Briciola in San Francisco on March 1st at 11 am, is this correct?",Is there anything else I can find?
"No, please make it a table for 3. [CONFIRM(location=San Francisco); CONFIRM(number_of_seats=3)]","Please confirm, you would like the reservation for 3 people in San Francisco.","No, please make it a table for 3."
"Yes, that sounds great. What type of food do they serve? [INFORM(category=Italian); OFFER(restaurant_name=La Briciola); OFFER(number_of_seats=3); OFFER(date=March 1st); OFFER(time=11:30 am); NOTIFY_FAILURE]","It is an Italian restaurant. Sorry, I was unable to reserve the time you selected. Would you like to reserve a table for 3 at La Briciola on March 1st at 11:30 am?",What type of food do they serve?
That sounds fine. [NOTIFY_SUCCESS],Your reservation is successful.,[NOTIFY_SUCCESS]
"Thank you, I'm all set. [GOODBYE]",Have a great day!,"Thank you, I'm all set."
"Can you find me a restaurant table for 3 people in Alameda, please? [REQUEST(time=)]",What time would you like a reservation?,Can you find me a restaurant table for 3 people in Alameda?
I'd like it for 11:30 in the morning on March 13th. It'll just be one person dining. [REQUEST(restaurant_name=)],Do you want a particular restaurant?,I'd like to have a meal for 11:30 in the morning on March 13th.
How about Cafe Jolie? [CONFIRM(restaurant_name=Cafe Jolie); CONFIRM(location=Alameda); CONFIRM(time=11:30 am); CONFIRM(date=March 13th); CONFIRM(number_of_seats=1)],Please confirm: reserve a table for Cafe Jolie in Alameda for 11:30 am on March 13th. The reservation will be for 1 person.,Cafe Jolie is located in Alameda at 11:30 am.
"Yes, that's perfect. [NOTIFY_SUCCESS]",I've successfully confirmed your reservation.,[NOTIFY_SUCCESS]
Thank you very much! [REQ_MORE],Will that be all?,Thank you for your wonderful day!
"Yes, that's everything for today. [GOODBYE]",Have a nice day!,"Yes, that's all for today."
Looking to book a table at the Academy bar? [REQUEST(location=); REQUEST(time=)],Which location to look in and at what time?,Have a good time?
Find in San Fran at 19:00 [CONFIRM(restaurant_name=Academy Bar and Kitchen); CONFIRM(location=San Francisco); CONFIRM(time=7 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Please confirm: Booking a table for 2 at the Academy Bar and Kitchen in San Francisco at 7 pm on March 1st.,Find in San Fran at 19:00 [CONFIRM(restaurant_name=Academy Bar and Kitchen); CONFIRM(location=San Francisco); CONFIRM(time=7 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)]
"Yes, thats right [NOTIFY_SUCCESS]",it is done,"Yes, thats right."
Any vegetarian options there? [INFORM(has_vegetarian_options=True)],"yes, there are good options",Any vegetarian options there?
thanks a lot [REQ_MORE],any thing else?,You have done good.
"no, thanks again [GOODBYE]",have a great day!,"Nein, ich danke nochmals [GOODBYE]"
I need to book a table at a nice restaurant. [REQUEST(time=); REQUEST(location=); REQUEST(restaurant_name=)],"Sure thing, what are the specifics? Time, place and which restaurant?",I need to book a table at a nice restaurant.
"I kinda want to eat at Namu Gaji at one pm, the branch in SFO [CONFIRM(restaurant_name=Namu Gaji); CONFIRM(location=San Francisco); CONFIRM(time=1 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)]",Just confirming you want me to search for a 1 pm reservation for 2 people on March 1st at the Namu Gaji in San Francisco yes?,"I have a good time to eat at Namu Gaji at one pm, the branch in SFO."
Yup that's right. Can you check how pricey it is and what their user rating is? [INFORM(rating=4.3); INFORM(price_range=moderate); OFFER(restaurant_name=Namu Gaji); OFFER(number_of_seats=2); OFFER(date=March 1st); OFFER(time=12:30 pm); NOTIFY_FAILURE],"Sure, they are in the moderate price range and have a 4.3 average user rating, however I was unable to book your table for 2 at Namu Gaji. Do you want me to try for March 1st at 12:30 pm instead?",Is there anything else I can help you with?
"No, I'm not available then [REQ_MORE]",Can I try something else for you?,I'm not available.
"No, not right now, thanks for your assistance [GOODBYE]","My pleasure, let me know if I can do anything else for you",You have a great day.
I want to reserve a restaurant table for 1 at 1 in the afternoon. [REQUEST(restaurant_name=); REQUEST(location=)],What restaurant would you like the table at? Where should I look for it?,I want to reserve a table for 1 at 1 in the afternoon.
I'd like a table at Yin Keng. Look in Windsor. [CONFIRM(restaurant_name=Yin Keng Restaurant); CONFIRM(location=Windsor); CONFIRM(time=1 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=1)],A table for 1 at Yin Keng Restaurant in Windsor at 1 pm on March 1st. Is this correct?,I'd like a table at Yin Keng Restaurant in Windsor at 1 pm.
That's it. Do they have vegetarian meals? Where is the restaurant? [INFORM(has_vegetarian_options=True); INFORM(address=8840 Lakewood Drive); NOTIFY_SUCCESS],Your reservation has been made. They have vegetarian meals. The address is 8840 Lakewood Drive.,Is there anything else I can help you with?
Thanks for your help. [REQ_MORE],Do you need anything else?,I have a great day.
"No, that is all. [GOODBYE]",Have a nice day.,Is there anything else I can do.
Please book one table at Tandoori Mahal at 12:30 in the afternoon. The date is 13th of this month. [REQUEST(location=)],What is the location sir?,Please book one table at Tandoori Mahal at 12:30 in the afternoon.
